feature 0,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,feature 17,feature 18,feature 19,feature 20,feature 21,feature 22,feature 23,feature 24,feature 25,feature 26,feature 27,feature 28,feature 29,feature 30,feature 31,feature 32,feature 33,feature 34,feature 35,feature 36,feature 37,feature 38,feature 39,feature 40,feature 41,feature 42,feature 43,feature 44,feature 45,feature 46,feature 47,feature 48,y
2474.0,5050.599224425661,5961.700449178394,7065.255625091731,7448.027547280446,7311.2631443719065,7271.475403566592,7392.387965314694,7361.518606328031,7116.608183300265,7017.15250535457,6721.037831704123,6843.84573988645,7196.015290796203,7408.85160591155,7480.728058188279,7603.3830023911905,7633.44996099106,7396.451143333795,9625.341796875,10443.603515625,11111.1328125,11563.330078125,11132.666015625,11025.0,11218.798828125,11218.798828125,10981.93359375,11046.533203125,11025.0,11563.330078125,12876.85546875,12984.521484375,13070.654296875,13608.984375,13695.1171875,13458.251953125,-165.41378784179688,18.71546745300293,-25.84953498840332,60.67341613769531,-19.07815170288086,13.721223831176758,-6.254283905029297,15.875469207763672,-0.7895106077194214,10.818862915039062,-11.782975196838379,6.274933815002441,hihat
1932.0,5703.119073600307,5691.319547021274,5809.317407487252,5909.049267825075,6001.863538231274,6127.436606709689,6141.176771975242,5885.162329942591,5336.498500728603,5133.673398424367,5136.841433307378,5751.337559885934,6405.6135889813595,6763.752864583049,6944.4200384796295,6717.462167919709,6748.4652778567815,6943.315433990541,8570.21484375,8634.814453125,8527.1484375,8290.283203125,8397.94921875,8613.28125,8720.947265625,8742.48046875,9173.14453125,10185.205078125,9840.673828125,10680.46875,11154.19921875,11304.931640625,11670.99609375,11498.73046875,11477.197265625,11886.328125,-266.7244567871094,38.97093200683594,-52.48065948486328,81.60242462158203,-23.78957748413086,17.45911407470703,-11.003067970275879,20.52554702758789,0.4621179401874542,7.902168273925781,-3.790987968444824,2.1784071922302246,hihat
3047.0,7857.460157155537,7952.829063321583,8407.892848236275,8554.947762750286,8447.671211469851,8485.902484341423,8747.23566562427,9002.143307042224,8887.18793528837,8914.1323712755,9097.787701564841,9113.472117528057,9209.636852051126,9149.591343841708,9216.047063423095,9235.366355722332,9232.018974227438,9020.617592332546,14491.845703125,14362.646484375,14513.37890625,14599.51171875,14319.580078125,14384.1796875,14728.7109375,14944.04296875,14750.244140625,14793.310546875,14900.9765625,14922.509765625,15137.841796875,15116.30859375,15073.2421875,15094.775390625,15159.375,15094.775390625,-127.06061553955078,-46.52040100097656,-58.10601806640625,20.262405395507812,-12.941726684570312,29.055789947509766,2.498497724533081,24.40889549255371,-10.962455749511719,12.956439971923828,-5.857499599456787,11.761550903320312,hihat
1616.0,4801.429323912901,4830.527342386426,4661.11469812648,4500.380677182135,4375.334426839841,4294.838648148627,4317.099690410366,4312.608259118777,4294.446696002569,4315.057844054684,4323.055112557818,4349.295597195894,4406.456837095579,4389.929069122945,4464.570003798611,4596.218423315006,4742.6181359775255,4863.882044655873,6330.76171875,6330.76171875,6007.763671875,5770.8984375,5577.099609375,5297.16796875,5340.234375,5275.634765625,5211.03515625,5275.634765625,5146.435546875,5404.833984375,5620.166015625,5577.099609375,5577.099609375,5878.564453125,6589.16015625,6761.42578125,-411.3314208984375,10.997173309326172,-159.41087341308594,29.33689308166504,-10.308035850524902,-31.056522369384766,10.54782485961914,20.20396614074707,4.88194465637207,10.166200637817383,5.897324085235596,4.791162967681885,hihat
2352.0,7001.3546637128775,6923.31808286475,6924.6308942307505,6926.4960388289555,6834.509506424441,6764.013682856714,6711.901729249336,6718.615090420158,6660.502784153742,6591.805658185646,6584.785691448517,6506.883482308987,6574.300478432981,6496.786079512557,6295.917906484059,6213.7336615704935,6169.706400823853,6096.337057907336,10486.669921875,10529.736328125,10400.537109375,10594.3359375,10572.802734375,10400.537109375,10443.603515625,10335.9375,10422.0703125,10551.26953125,10637.40234375,10551.26953125,10508.203125,10443.603515625,10206.73828125,10443.603515625,10486.669921875,10335.9375,-237.59228515625,0.7268320918083191,-118.86345672607422,57.4150390625,-57.40024948120117,17.760597229003906,-39.72660827636719,-5.789106369018555,-19.29442596435547,-23.436668395996094,-1.4333299398422241,-24.966983795166016,hihat
3118.0,7898.85829139137,7749.320456500811,7789.968662301953,7971.2184429866375,8061.940095578038,8086.808238407003,8113.35209084176,8023.688626594962,7781.140723414117,7690.730539755414,7889.504736964136,7977.474906013324,7761.6337778366415,7907.903667252407,8233.850688788227,7838.378292337551,7616.093555220658,8093.380523830105,12230.859375,11843.26171875,11886.328125,12101.66015625,12295.458984375,12123.193359375,12144.7265625,11907.861328125,12037.060546875,12489.2578125,12553.857421875,12704.58984375,12941.455078125,13285.986328125,13350.5859375,13092.1875,13221.38671875,13479.78515625,-251.8506622314453,-0.22601318359375,-54.92866134643555,70.61573028564453,-43.785240173339844,32.15241622924805,-35.53458023071289,25.64360809326172,-29.479713439941406,17.10611343383789,-13.432929992675781,1.3439748287200928,hihat
3261.0,9084.449363782267,9180.270751783699,9040.192520006996,8942.228020974884,8883.527151511656,8687.190557803273,8488.370558494184,8350.9298090346,8376.379429769324,8357.36233513429,8192.251477462654,8086.844127660809,8053.423902283226,7930.1814440495855,8078.253669794573,7982.723864712504,7866.806689757723,7816.361825780691,13199.853515625,13156.787109375,12941.455078125,12855.322265625,12639.990234375,12553.857421875,12403.125,12252.392578125,12101.66015625,11993.994140625,11972.4609375,11800.1953125,11800.1953125,11821.728515625,12123.193359375,12015.52734375,11821.728515625,11843.26171875,-149.54180908203125,-63.08024597167969,-62.05860900878906,47.714595794677734,-44.814762115478516,11.55971908569336,-40.968658447265625,1.4826112985610962,-36.716644287109375,-14.163688659667969,-30.90653419494629,-5.14493989944458,hihat
2961.0,10426.981617882575,10600.20810099672,10747.031992112028,10753.61794370924,10595.349103366625,10515.515805201154,10215.284200740181,10115.48373867703,9979.977616930628,9738.265925016673,9457.818996196354,9279.849255157975,9116.349376942775,8945.910512616389,8309.939274379429,6483.368914325441,4826.902453288802,0.0,15159.375,15288.57421875,15374.70703125,15267.041015625,15073.2421875,14965.576171875,14685.64453125,14599.51171875,14254.98046875,14104.248046875,13802.783203125,13630.517578125,13285.986328125,13221.38671875,12639.990234375,10938.8671875,10163.671875,0.0,-345.82553372212277,-112.20790970694208,-25.932533672930326,41.39664689046147,-16.63126310654795,18.748406790418983,-1.3907625263919732,16.55466462501756,-2.4560231868638933,9.680878484399935,0.5332087295063008,1.0954469573254793,hihat
2684.0,8185.523964328884,8008.8487456049525,7880.846837397024,7874.046394017938,7960.880084280668,7839.046619849213,7666.150278198575,8294.016832058483,8847.829015204748,8940.700366218594,8060.364845273265,6337.38659186019,6333.769246848638,6277.28956119459,6235.12283040365,6303.089873619079,6314.711859334104,6399.49030159793,12123.193359375,11843.26171875,11778.662109375,11778.662109375,11670.99609375,11800.1953125,11864.794921875,12747.65625,12962.98828125,13049.12109375,12381.591796875,9582.275390625,9496.142578125,9345.41015625,9323.876953125,9388.4765625,9345.41015625,9345.41015625,-401.78997802734375,-54.11518859863281,-66.82818603515625,66.58092498779297,-20.6077938079834,19.837018966674805,-10.203051567077637,17.170310974121094,-5.310799598693848,16.874649047851562,0.5301427245140076,6.583192825317383,hihat
1347.0,7134.190405800725,6664.716577661037,6034.518986663021,5724.0249798242285,5399.848022994542,4780.1918819705825,4301.81761595531,4172.496833059295,4053.52477814459,4164.487865089274,4261.308019116725,4420.057479422596,4685.348205831019,4664.932801337909,4565.978805276394,4682.817383959029,4780.440460437579,4863.218793754048,9991.40625,9625.341796875,9151.611328125,8828.61328125,8742.48046875,8397.94921875,7859.619140625,8074.951171875,8096.484375,8527.1484375,8311.81640625,8397.94921875,9022.412109375,9323.876953125,9517.67578125,9453.076171875,9603.80859375,9991.40625,-269.6048583984375,83.37015533447266,-40.54713439941406,93.6976318359375,-29.05862808227539,28.32301139831543,-8.358918190002441,17.99737548828125,6.169846057891846,-1.9627490043640137,-0.044215135276317596,-13.619205474853516,hihat
2124.0,7942.134665814592,7510.246908288938,6911.0715604683055,6792.6079243485665,6511.658056709928,6378.761319438545,6109.517341963736,6142.752355104066,6204.677261583214,6127.028272697682,6087.935380086998,6169.761226365512,6378.334869200255,6377.797602012457,6449.082364826726,6518.337521084757,6641.035404585946,0.0,11412.59765625,10680.46875,10163.671875,10185.205078125,9819.140625,9948.33984375,9776.07421875,9733.0078125,9819.140625,10120.60546875,10142.138671875,10335.9375,10486.669921875,10831.201171875,10917.333984375,11261.865234375,12101.66015625,0.0,-372.98717493304383,18.519367832153453,-42.75656142097347,70.25977395701553,-24.91001162144635,21.95817949156509,-16.64515626713667,14.803470738212761,3.030337625882544,7.865800266035366,8.619069938782909,0.6338878938126231,hihat
